K,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Sensitivity,Specificity,FalsePositiveRate,FalseNegativeRate,Pos.Pred.Value,Neg.Pred.Value,Precision,Recall,F1,Prevalence,Detection.Rate,Detection.Prevalence,Balanced.Accuracy,AUROC
1,0.817266991,0.127384208,0.810384668,0.82400151,0.807124032,0.001973202,0,0.096066253,0.989610133,0.010389867,0.903933747,0.6884273,0.820830598,0.6884273,0.096066253,0.168604651,0.192875968,0.018528871,0.026914783,0.542838193,0.72742589
2,0.817266991,0.127384208,0.810384668,0.82400151,0.807124032,0.001973202,0,0.096066253,0.989610133,0.010389867,0.903933747,0.6884273,0.820830598,0.6884273,0.096066253,0.168604651,0.192875968,0.018528871,0.026914783,0.542838193,0.727499765
3,0.819103905,0.157665224,0.81224769,0.825811457,0.807124032,0.000323348,0,0.123395445,0.985355235,0.014644765,0.876604555,0.668161435,0.824679089,0.668161435,0.123395445,0.20831877,0.192875968,0.023800016,0.035620158,0.55437534,0.734180584
4,0.820142161,0.161542157,0.813300816,0.826834356,0.807124032,0.000103327,0,0.12505176,0.986245795,0.013754205,0.87494824,0.684807256,0.825082781,0.684807256,0.12505176,0.211484594,0.192875968,0.024119479,0.035220829,0.555648777,0.767888867
5,0.817346857,0.183432363,0.810465664,0.824080209,0.807124032,0.001834048,2.90E-305,0.156521739,0.97526222,0.02473778,0.843478261,0.601910828,0.828722778,0.601910828,0.156521739,0.24843904,0.192875968,0.030189282,0.050155738,0.56589198,0.780862669
6,0.817586455,0.188242162,0.810708654,0.824316302,0.807124032,0.001468361,1.44E-298,0.161490683,0.97437166,0.02562834,0.838509317,0.600924499,0.829430593,0.600924499,0.161490683,0.254569191,0.192875968,0.031147672,0.051832921,0.567931172,0.782083333
7,0.817586455,0.188242162,0.810708654,0.824316302,0.807124032,0.001468361,1.44E-298,0.161490683,0.97437166,0.02562834,0.838509317,0.600924499,0.829430593,0.600924499,0.161490683,0.254569191,0.192875968,0.031147672,0.051832921,0.567931172,0.782233501
8,0.817666321,0.189128637,0.810789651,0.824394999,0.807124032,0.001362096,1.09E-297,0.162318841,0.974272709,0.025727291,0.837681159,0.601226994,0.829555986,0.601226994,0.162318841,0.255624389,0.192875968,0.031307404,0.052072518,0.568295775,0.782163272
9,0.819662966,0.234578882,0.812814747,0.826362259,0.807124032,0.000176827,2.68E-231,0.212836439,0.964674451,0.035325549,0.787163561,0.590126292,0.836824034,0.590126292,0.212836439,0.312842362,0.192875968,0.041051034,0.069563134,0.588755445,0.788454002
10,0.819902564,0.219506996,0.813057779,0.826598309,0.807124032,0.000135483,5.41E-262,0.192960663,0.969720958,0.030279042,0.807039337,0.603626943,0.834113542,0.603626943,0.192960663,0.292438029,0.192875968,0.037217475,0.061656417,0.58134081,0.791055024
11,0.821260283,0.232731488,0.814435045,0.827935846,0.807124032,2.74E-05,8.20E-250,0.205797101,0.968335642,0.031664358,0.794202899,0.608323133,0.836124402,0.608323133,0.205797101,0.307549505,0.192875968,0.039693315,0.065250379,0.587066372,0.793369128
12,0.821340149,0.232912786,0.814516065,0.82801452,0.807124032,2.49E-05,3.11E-250,0.205797101,0.968434593,0.031565407,0.794202899,0.609068627,0.836138402,0.609068627,0.205797101,0.307644692,0.192875968,0.039693315,0.065170514,0.587115847,0.793422127
13,0.822138807,0.236020039,0.815326293,0.828801234,0.807124032,9.02E-06,5.68E-252,0.207453416,0.9690283,0.0309717,0.792546584,0.615479115,0.836508072,0.615479115,0.207453416,0.31031279,0.192875968,0.040012779,0.065010782,0.588240858,0.79414363
14,0.822298538,0.236062238,0.815488345,0.828958571,0.807124032,7.31E-06,1.90E-253,0.207039337,0.969325153,0.030674847,0.792960663,0.617283951,0.836478524,0.617283951,0.207039337,0.310077519,0.192875968,0.039932913,0.064691319,0.588182245,0.794048777
15,0.822378404,0.237209934,0.815569372,0.829037239,0.807124032,6.58E-06,5.37E-252,0.208281573,0.969127251,0.030872749,0.791718427,0.617177914,0.836664958,0.617177914,0.208281573,0.311455108,0.192875968,0.04017251,0.065090648,0.588704412,0.794174811
16,0.821180417,0.233518527,0.814354026,0.827857171,0.807124032,3.03E-05,1.55E-247,0.207039337,0.967939838,0.032060162,0.792960663,0.606796117,0.836282808,0.606796117,0.207039337,0.308737265,0.192875968,0.039932913,0.06580944,0.587489588,0.794182023
17,0.821180417,0.23576833,0.814354026,0.827857171,0.807124032,3.03E-05,3.11E-243,0.209937888,0.96724718,0.03275282,0.790062112,0.605011933,0.836685783,0.605011933,0.209937888,0.311712266,0.192875968,0.040491973,0.066927562,0.588592534,0.79484227
18,0.821180417,0.237048011,0.814354026,0.827857171,0.807124032,3.03E-05,8.59E-241,0.211594203,0.966851375,0.033148625,0.788405797,0.604018913,0.836916488,0.604018913,0.211594203,0.313400797,0.192875968,0.040811437,0.067566488,0.589222789,0.794658156
19,0.820860954,0.239505261,0.814029952,0.827542468,0.807124032,4.46E-05,3.95E-233,0.21573499,0.96546606,0.03453394,0.78426501,0.598850575,0.837438846,0.598850575,0.21573499,0.317199391,0.192875968,0.041610095,0.069483268,0.590600525,0.794542221
20,0.820860954,0.239505261,0.814029952,0.827542468,0.807124032,4.46E-05,3.95E-233,0.21573499,0.96546606,0.03453394,0.78426501,0.598850575,0.837438846,0.598850575,0.21573499,0.317199391,0.192875968,0.041610095,0.069483268,0.590600525,0.794579691
21,0.820142161,0.240723265,0.813300816,0.826834356,0.807124032,0.000103327,3.14E-224,0.219461698,0.96368494,0.03631506,0.780538302,0.590858417,0.837835513,0.590858417,0.219461698,0.320048309,0.192875968,0.042328887,0.071639645,0.591573319,0.796090325
22,0.821579746,0.250517274,0.814759128,0.828250539,0.807124032,1.84E-05,5.44E-219,0.22815735,0.963388086,0.036611914,0.77184265,0.598262758,0.839310345,0.598262758,0.22815735,0.330335731,0.192875968,0.04400607,0.073556425,0.595772718,0.799126505
23,0.830524718,0.309714009,0.823836755,0.837058665,0.807124032,8.44E-12,2.61E-186,0.282815735,0.961409064,0.038590936,0.717184265,0.636533085,0.848707198,0.636533085,0.282815735,0.39162844,0.192875968,0.054548359,0.085696031,0.622112399,0.821797764
24,0.83068445,0.310915365,0.823998915,0.837215894,0.807124032,6.11E-12,2.20E-185,0.284057971,0.961310113,0.038689887,0.715942029,0.636954503,0.848916463,0.636954503,0.284057971,0.392898053,0.192875968,0.054787956,0.086015494,0.622684042,0.822364264
25,0.830924048,0.311753073,0.824242158,0.837451734,0.807124032,3.75E-12,6.41E-186,0.28447205,0.961508015,0.038491985,0.71552795,0.638475836,0.849017038,0.638475836,0.28447205,0.3935835,0.192875968,0.054867822,0.085935628,0.622990032,0.822648333
26,0.830844182,0.311565445,0.824161077,0.837373121,0.807124032,4.41E-12,1.47E-185,0.28447205,0.961409064,0.038590936,0.71552795,0.637883008,0.849003845,0.637883008,0.28447205,0.39347079,0.192875968,0.054867822,0.086015494,0.622940557,0.822651816
27,0.831243511,0.315786174,0.82456649,0.837766179,0.807124032,1.94E-12,8.40E-181,0.289440994,0.960716406,0.039283594,0.710559006,0.637773723,0.849803063,0.637773723,0.289440994,0.398177158,0.192875968,0.055826212,0.087532945,0.6250787,0.823573844
28,0.829965658,0.310605189,0.823269214,0.836508348,0.807124032,2.57E-11,1.85E-179,0.286128364,0.959924797,0.040075203,0.713871636,0.630474453,0.849102845,0.630474453,0.286128364,0.393620051,0.192875968,0.055187285,0.087532945,0.623026581,0.823636349
29,0.830285121,0.311900436,0.82359352,0.836822818,0.807124032,1.36E-11,8.59E-180,0.286956522,0.960122699,0.039877301,0.713043478,0.63229927,0.849277899,0.63229927,0.286956522,0.394759328,0.192875968,0.055347017,0.087532945,0.623539611,0.823618444
30,0.830125389,0.312347009,0.823431366,0.836665584,0.807124032,1.87E-11,1.78E-177,0.288198758,0.959627944,0.040372056,0.711801242,0.630434783,0.849435053,0.630434783,0.288198758,0.395566922,0.192875968,0.055586614,0.088171871,0.623913351,0.823578576
31,0.830205255,0.312260583,0.823512443,0.836744201,0.807124032,1.60E-11,2.31E-178,0.287784679,0.959825846,0.040174154,0.712215321,0.631244323,0.84938704,0.631244323,0.287784679,0.395335609,0.192875968,0.055506749,0.087932274,0.623805263,0.823718542
32,0.830205255,0.312260583,0.823512443,0.836744201,0.807124032,1.60E-11,2.31E-178,0.287784679,0.959825846,0.040174154,0.712215321,0.631244323,0.84938704,0.631244323,0.287784679,0.395335609,0.192875968,0.055506749,0.087932274,0.623805263,0.823718542
33,0.83068445,0.31474617,0.823998915,0.837215894,0.807124032,6.11E-12,8.70E-178,0.289855072,0.959924797,0.040075203,0.710144928,0.633484163,0.849772249,0.633484163,0.289855072,0.397727273,0.192875968,0.055906078,0.088251737,0.624889935,0.823808991